"_id","type","fabric","supplies","steps","notes","disclaimer","source","source_url"
"216","Maple syrup","Upholstery","Detergent","Mix one (1) tablespoon of liquid dishwashing detergent with two (2) cups of cool water.;Using a clean white cloth, sponge the stain with the detergent solution.;Blot until the liquid is absorbed.;Repeat Steps 2 and 3 until the stain disappears.;Sponge with cold water and blot dry to remove the detergent solution.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"217","Margarine","Washable fabrics","Pretreatment laundry stain remover;Heavy-duty liquid detergent;Chlorine bleach or oxygen bleach;Dry cleaning solvent;Absorbent paper towels","Saturate area with pretreatment laundry stain remover (aerosol types work better on greasy stains) Wait one minute for product to penetrate the stain. For stubborn stains, rub with heavy-duty liquid detergent. Launder immediately.;If color stain remains, soak/wash in chlorine bleach if safe for fabric, or in oxygen bleach.;For extra heavy stains, apply dry cleaning solvent to back of the stain over absorbent paper towels. Let dry, rinse. Proceed as above.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"218","Margarine","Upholstery","Absorbent;Dry cleaning solvent","Sprinkle baking soda, cornstarch, or other absorbent on the stain.  Let stand 10 to 15 minutes, and then vacuum.;Using a clean white cloth, sponge the stain with the dry cleaning solvent.;Blot until the solvent is absorbed.;Repeat Steps 2 and 3 until the stain disappears.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"219","Mascara (make up)","Upholstery","Detergent;Dry cleaning solvent","Mix one (1) tablespoon of liquid dishwashing detergent with two (2) cups of cool water.;Using a clean white cloth, sponge the stain with the detergent solution.;Blot until the liquid is absorbed.;Repeat Steps 2 and 3 until the stain disappears.;Sponge with cold water and blot dry to remove the detergent solution.;Using a clean white cloth, sponge the stain with the dry cleaning solvent.;Blot until the solvent is absorbed.;Repeat Steps 2 and 3 until the stain disappears.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"220","Mayonnaise","Washable fabrics","Pretreatment laundry stain remover;Heavy-duty liquid detergent;Chlorine bleach or oxygen bleach;Dry cleaning solvent;Absorbent paper towels","Saturate area with pretreatment laundry stain remover (aerosol types work better on greasy stains) Wait one minute for product to penetrate the stain. For stubborn stains, rub with heavy-duty liquid detergent. Launder immediately.;If color stain remains, soak/wash in chlorine bleach if safe for fabric, or in oxygen bleach.;For extra heavy stains, apply dry cleaning solvent to back of the stain over absorbent paper towels. Let dry, rinse. Proceed as above.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"221","Mayonnaise","Carpet","Isopropyl rubbing alcohol;Detergent;Hydrogen peroxide","Remove as much of the foreign material as possible by blotting with a white paper towel or scraping with a dull knife.;Apply rubbing alcohol to a clean white cloth, white paper towel or cotton ball. If the spot extends deep into the pile use a blotting motion until the spot is removed or no color is transferred to the cloth. Do not allow the alcohol to penetrate into the backing as this will destroy the latex bond. If the spot is on the surface only, rub in one direction at a time. Never use a circular motion to remove the spot as this may destroy the texture. Stop if spot is removed. If not, continue with the next step.;Apply a small quantity of detergent solution to the spot. (To make the detergent solution mix 1/4 teaspoon of a hand dishwashing detergent which does not contain lanolin or bleach with 1 quart of water) Use a blotting motion to work the detergent into the affected area. If spot is being removed continue applying detergent solution and blotting with a white paper towel until spot is removed.;Rinse with tap water using a spray bottle, blot to remove excess moisture.;Spray lightly with water, do not blot this time; apply pad of paper towels and brick and allow to dry.;If there is still some stain on the carpet and blotting is not removing it, then moisten the tufts in the stained area with 3% hydrogen peroxide. Let stand for on (1) hour. Blot and repeat until carpet is stain free. Light will cause peroxide to change back to water so no rinsing is necessary.;Apply pad of paper towels and weight down with brick.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"222","Mayonnaise","Upholstery","Absorbent;Dry cleaning solvent","Sprinkle baking soda, cornstarch, or other absorbent on the stain.  Let stand 10 to 15 minutes, and then vacuum.;Using a clean white cloth, sponge the stain with the dry cleaning solvent.;Blot until the solvent is absorbed.;Repeat Steps 2 and 3 until the stain disappears.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"223","Medicine (alcohol based)","Carpet","Detergent;White vinegar","Using clean white paper towels, blot up as much of the stain as possible.;Use plain water or mix one tablespoon of liquid dishwashing detergent and one tablespoon of white vinegar with two cups of warm water.;Using a clean white cloth, sponge the stain with a small amount of water or the detergent/vinegar solution. Apply a little bit at a time, blotting frequently with a dry cloth until the stain disappears.;If using a detergent/vinegar solution, sponge with cold water and blot dry to remove the solution.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"224","Medicine (alcohol based)","Upholstery","White vinegar;Rubbing alcohol;Detergent","Mix one tablespoon of white vinegar with 2/3 cup of rubbing alcohol.;Using a clean white cloth, sponge the stain with the vinegar/alcohol solution.;Blot until the liquid is absorbed.;Repeat Steps 2 and 3 until the stain disappears.;Mix one (1) tablespoon of liquid dishwashing detergent with two (2) cups of cool water.;Using a clean white cloth, sponge the stain with the detergent solution.;Blot until the liquid is absorbed.;Repeat Steps 2 and 3 until the stain disappears.;Sponge with cold water and blot dry to remove the detergent solution.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"225","Medicine (oil based)","Carpet","Dry Cleaning solvent;Detergent;White vinegar","Scrape off excess foreign material.;Sprinkle baking soda, cornstarch or other absorbent in the stain. Let stand for 10 or 15 minutes, and then vacuum.;Using a clean white cloth, sponge the stain with the dry cleaning solvent.;Blot until the solvent is absorbed.;If the stain remains, mix one tablespoon of liquid dishwashing detergent and one tablespoon of white vinegar with two cups of warm water. Sponge the stain with this solution. Blot until the liquid is absorbed.;Sponge with cold water and blot dry to remove the detergent/vinegar solution.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"226","Medicine (oil based)","Upholstery","Absorbent;Dry cleaning solvent","Sprinkle baking soda, cornstarch, or other absorbent on the stain.  Let stand 10 to 15 minutes, and then vacuum.;Using a clean white cloth, sponge the stain with the dry cleaning solvent.;Blot until the solvent is absorbed.;Repeat Steps 2 and 3 until the stain disappears.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"227","Melon","Carpet","Detergent;Ammonia","Scrape off excess foreign material.;Mix one tablespoon of liquid dishwashing detergent with two cups of warm water.;Using a clean white cloth, sponge the stain with the detergent solution.;Blot until the liquid is absorbed.;Repeat Steps 3 and 4 until the stain disappears.;If the stain remains, mix one tablespoon of ammonia with two cups of warm water. (Caution: Never mix chlorine bleach and ammonia – fumes are hazardous);Sponge the stain with the ammonia solution.;Blot until the liquid is absorbed.;Sponge with cold water and blot dry.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"228","Melon","Upholstery","Detergent","Mix one (1) tablespoon of liquid dishwashing detergent with two (2) cups of cool water.;Using a clean white cloth, sponge the stain with the detergent solution.;Blot until the liquid is absorbed.;Repeat Steps 2 and 3 until the stain disappears.;Sponge with cold water and blot dry to remove the detergent solution.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"229","Mercurochrome","Washable fabrics","Heavy-duty liquid detergent;Dilute solution of all-fabric powdered bleach;Liquid chlorine bleach;Commercial color remover","Pretreat the stain with heavy-duty liquid detergent. Rinse.;Soak fabric in dilute solution of all-fabric powdered bleach.;If stain persists and garment is white or colorfast, soak entire garment in diluted solution of liquid chlorine bleach and water. Chlorine bleach may change the color of the garment or cause irreversible damage. Check for bleach tolerance on a hidden seam. If stain does not come out in 15 minutes of bleaching, if cannot be removed by bleaching.;If bleaching is not safe or does not work, use a commercial color remover according to package directions. Note that color remover will take out the fabric color as well as the stain. Do not exceed 160 degrees Fahrenheit water with any synthetic fabrics*. Launder.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"230","Mildew","Washable fabrics","Detergent;Bleach","Shake or brush the item outdoors.;Pretreat darkest stains with heavy-duty liquid detergent.;Launder in hot water with a heavy-duty detergent.;Bleach as safe for fabric.  Mildew attacks and destroys fibers, so bleaching may not restore fibers to white.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"231","Mildew","Carpet","Detergent;Vacuum","Remove loose mold from outer coverings of rugs and carpets brushing with a broom in the outdoors to prevent mildew spores in the house.;If the surface is vacuumed, remove and dispose of the bag to avoid scattering mold spores in the house.;Dry articles by using electric heater and fan to carry away moist air.  Sun and air will stop mold growth.;If mildew remains, sponge surface lightly with thick suds of detergent and wipe with a clean, damp cloth. Be sparingly with the water on the surface.;Mildew carpets and rugs should be thoroughly cleaned and dried.  Dry in sun if possible. ;Contact commercial cleaning company in extreme cases.  If mold has grown into the inner part of the flooring, contact commercial rug cleaner.  The item may be not be cleanable and will need to be thrown out.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"232","Mildew","Upholstery","Ammonia","If possible, take the item outdoors and brush off as much mildew as possible.  This will prevent scattering the mold spores in the house.  If this isn’t possible, vacuum the surface to draw out more of the mildew.  Afterward, replace the vacuum cleaner bag or remove the canister and clean outside. (To prevent more mold spores in your house);Mix one cup of ammonia with one cup of cool water. (Caution: Never mix chlorine bleach and ammonia – fumes are hazardous);Using a clean white cloth, sponge the stain with the ammonia solution.;Blot until the liquid is absorbed.;Repeat Steps 3 and 4 until the stain disappears.;Sponge with cold water and blot dry to remove the ammonia solution.;Dry thoroughly.  Use a fan or a hair dryer on the “cool” setting to facilitate drying.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"233","Milk","Washable fabrics","Blunt kitchen knife;Liquid hand dishwashing Detergent;Ammonia;Enzyme product;Chlorine bleach or oxygen bleach","Scrape off excess material.;Soak for 15 minutes in mixture of 1 quart lukewarm water, one-half teaspoon liquid hand dishwashing detergent and one tablespoon ammonia.;Rub gently from back to loosen stain.;Soak another 15 minutes in above mixture. Rinse.;Soak protein stain in enzyme product for at least 30 minutes. Soak aged stains for several hours. Launder.;If color stain remains, launder, using chlorine bleach if safe for fabric, or with oxygen bleach.",,"Caution: Never mix chlorine bleach with ammonia - fumes are hazardous.","University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"234","Milk","Carpet","Clean absorbent towels;Diluted carpet shampoo;Vacuum cleaner;Dull knife;Rubbing alcohol;Detergent","Remove excess foreign material by blotting with a clean absorbent towel.;Sponge lightly with cool water and blot several times.;Apply diluted carpet shampoo (1 part liquid carpet shampoo to 4 parts water) with a brush or towel.;Let the area dry thoroughly, and then vacuum.;Repeat if needed.;Remove as much of the foreign material as possible by blotting with a white paper towel or scraping with a dull knife.;Apply rubbing alcohol to a clean white cloth, white paper towel or cotton ball. If the spot extends deep into the pile use a blotting motion until the spot is removed or no color is transferred to the cloth. Do not allow the alcohol to penetrate into the backing as this will destroy the latex bond. If the spot is on the surface only, rub in one direction at a time. Never us a circular motion to remove spot as this may destroy the texture. Stop if spot is removed. If not, go to the next step.;Apply a small quantity of detergent solution to the spot. (To make the detergent solution mix 1/4 teaspoon of a hand dishwashing detergent which does not contain lanolin or bleach with 1 quart of water) Use a blotting motion to work the detergent into the affected area. If spot is being removed continue applying detergent and blotting with a white paper towel until spot is removed.;Rinse with tap water using a spray bottle, blot to remove excess moisture.;Spray lightly with water, do not blot this time; apply pad of paper towels and brick and allow to dry.;If there is still some stain on the carpet and blotting is not removing it, then moisten the tufts in the stained area with 3% hydrogen peroxide. Let stand for on (1) hour. Blot and repeat until carpet is stain free. Light will cause peroxide to change back to water so no rinsing is necessary. Apply pad of paper towels and weight down with brick.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"235","Milk","Upholstery","Detergent;Dry cleaning solvent","Mix one (1) tablespoon of liquid dishwashing detergent with two (2) cups of cool water.;Using a clean white cloth, sponge the stain with the detergent solution.;Blot until the liquid is absorbed.;Repeat Steps 2 and 3 until the stain disappears.;Sponge with cold water and blot dry to remove the detergent solution.;Using a clean white cloth, sponge the stain with the dry cleaning solvent.;Blot until the solvent is absorbed.;Repeat Steps 2 and 3 until the stain disappears.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"236","Mixed drinks","Washable fabrics","Liquid hand dishwashing detergent;White vinegar;Rubbing alcohol;Enzyme presoak product;Chlorine bleach or oxygen bleach","Soak for 15 minutes in mixture of one quart lukewarm water, one-half teaspoon liquid hand dishwashing detergent and one tablespoon white vinegar. Rinse.;Sponge with rubbing alcohol, using light motions from center to edge of stain.;Soak for 30 minutes in one quart warm water with one tablespoon enzyme presoak products.;If color stain remains, launder in chlorine bleach if safe for the fabric, or in oxygen bleach.",,"Caution: Never mix chlorine bleach with ammonia - fumes are hazardous.","University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"237","Mixed drinks","Carpet","Ammonia;Detergent;3% Hydrogenperoxide","Remove as much of the stain as possible by blotting with a white paper towel or scraping with a dull knife, then neutralize with an ammonia solution (1 tablespoon of clear household ammonia to 1/2 cup of water.). Saturate spot with the ammonia solution using a spray bottle. Do not wet backing. Blot with a white paper towel to remove excess moisture.;Apply a small quantity of detergent solution to the spot. (To make the detergent solution mix 1/4 teaspoon of a hand dishwashing detergent which does not contain lanolin or bleach with 1 quart of water) Use a blotting motion to work the detergent into the affected area. If spot is being removed continue applying detergent and blotting with a white paper towel until spot is removed.;Rinse with tap water using a spray bottle, blot to remove excess moisture.;Spray lightly with water, do not blot this time; apply pad of paper towels and brick and allow to dry.;If there is still some stain on the carpet and blotting is not removing it, then moisten the tufts in the stained area with 3% hydrogen peroxide. Let stand for on (1) hour. Blot and repeat until carpet is stain free. Light will cause peroxide to change back to water so no rinsing is necessary. Apply pad of paper towels and weight down with brick.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"238","Molasses","Washable fabrics","Liquid hand dishwashing detergent;White vinegar;Rubbing alcohol;Enzyme presoak product;Chlorine bleach or oxygen bleach","Soak for 15 minutes in mixture of one quart lukewarm water, one-half teaspoon liquid hand dishwashing detergent and one tablespoon white vinegar. Rinse.;Sponge with rubbing alcohol, using light motions from center to edge of stain.;Soak for 30 minutes in one quart warm water with one tablespoon enzyme presoak products.;If color stain remains, launder in chlorine bleach if safe for the fabric, or in oxygen bleach.",,"Caution: Never mix chlorine bleach with ammonia - fumes are hazardous.","University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"239","Motor oil","Carpet","Dry Cleaning solvent;Detergent;White vinegar","Scrape off excess foreign material.;Sprinkle baking soda, cornstarch or other absorbent in the stain. Let stand for 10 or 15 minutes, and then vacuum.;Using a clean white cloth, sponge the stain with the dry cleaning solvent.;Blot until the solvent is absorbed.;If the stain remains, mix one tablespoon of liquid dishwashing detergent and one tablespoon of white vinegar with two cups of warm water. Sponge the stain with this solution. Blot until the liquid is absorbed.;Sponge with cold water and blot dry to remove the detergent/vinegar solution.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"240","Motor oil","Upholstery","Absorbent;Dry cleaning solvent","Sprinkle baking soda, cornstarch, or other absorbent on the stain.  Let stand 10 to 15 minutes, and then vacuum.;Using a clean white cloth, sponge the stain with the dry cleaning solvent.;Blot until the solvent is absorbed.;Repeat Steps 2 and 3 until the stain disappears.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"241","Mouthwash","Washable fabrics","Blunt kitchen knife;Liquid hand dishwashing Detergent;Ammonia;Enzyme product;Chlorine bleach or oxygen bleach","Scrape off excess material.;Soak for 15 minutes in mixture of 1 quart lukewarm water, one-half teaspoon liquid hand dishwashing detergent and one tablespoon ammonia.;Rub gently from back to loosen stain.;Soak another 15 minutes in above mixture. Rinse.;Soak protein stain in enzyme product for at least 30 minutes. Soak aged stains for several hours. Launder.;If color stain remains, launder, using chlorine bleach if safe for fabric, or with oxygen bleach.",,"Caution: Never mix chlorine bleach with ammonia - fumes are hazardous.","University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"242","Mucous","Washable fabrics","Blunt kitchen knife;Liquid hand dishwashing Detergent;Ammonia;Enzyme product;Chlorine bleach or oxygen bleach","Scrape off excess material.;Soak for 15 minutes in mixture of 1 quart lukewarm water, one-half teaspoon liquid hand dishwashing detergent and one tablespoon ammonia.;Rub gently from back to loosen stain.;Soak another 15 minutes in above mixture. Rinse.;Soak protein stain in enzyme product for at least 30 minutes. Soak aged stains for several hours. Launder.;If color stain remains, launder, using chlorine bleach if safe for fabric, or with oxygen bleach.",,"Caution: Never mix chlorine bleach with ammonia - fumes are hazardous.","University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"243","Mud","Washable fabrics","Blunt kitchen knife;Liquid hand dishwashing Detergent;Ammonia;Enzyme product;Chlorine bleach or oxygen bleach;Liquid hand dishwashing detergent;White vinegar;Rubbing alcohol;Enzyme presoak product;Chlorine bleach or oxygen bleach","Scrape off excess material.;Soak for 15 minutes in mixture of 1 quart lukewarm water, one-half teaspoon liquid hand dishwashing detergent and one tablespoon ammonia.;Rub gently from back to loosen stain.;Soak another 15 minutes in above mixture. Rinse.;Soak protein stain in enzyme product for at least 30 minutes. Soak aged stains for several hours. Launder.;If color stain remains, launder, using chlorine bleach if safe for fabric, or with oxygen bleach.;Soak for 15 minutes in mixture of one quart lukewarm water, one-half teaspoon liquid hand dishwashing detergent and one tablespoon white vinegar. Rinse.;Sponge with rubbing alcohol, using light motions from center to edge of stain.;Soak for 30 minutes in one quart warm water with one tablespoon enzyme presoak products.;If color stain remains, launder in chlorine bleach if safe for the fabric, or in oxygen bleach.",,"Caution: Never mix chlorine bleach with ammonia - fumes are hazardous.","University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"244","Mud","Carpet","Dull knife;Wet vacuum (for spilled liquid);Detergent;3% Hydrogen peroxide;Carpet shampoo;Vacuum","Allow mud to dry completely.;Blot up as much of the stain as is possible by blotting with a white paper towel or scraping with a dull knife. A wet vacuum is useful if a large quantity of liquid was spilled.;Apply a small quantity of detergent solution to the spot. (To make the detergent solution mix 1/4 teaspoon of a hand dishwashing detergent which does not contain lanolin or bleach with 1 quart of water) Use a blotting motion to work the detergent into the affected area. If spot is being removed continue applying detergent and blotting with a white paper towel until spot is removed.;Rinse with tap water using a spray bottle, blot to remove excess moisture.;Spray lightly with water, do not blot this time; apply pad of paper towels and brick and allow to dry.;If there is still some stain on the carpet and blotting is not removing it, then moisten the tufts in the stained area with 3% hydrogen peroxide. Let stand for on (1) hour. Blot and repeat until carpet is stain free. Light will cause peroxide to change back to water so no rinsing is necessary. Apply pad of paper towels and weight down with brick.;Scrape up as much mud as possible and allow residue to dry completely. ;Vacuum well, then shampoo.;Let area dry and vacuum again.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"245","Mud","Upholstery","Detergent","Mix one (1) tablespoon of liquid dishwashing detergent with two (2) cups of cool water.;Using a clean white cloth, sponge the stain with the detergent solution.;Blot until the liquid is absorbed.;Repeat Steps 2 and 3 until the stain disappears.;Sponge with cold water and blot dry to remove the detergent solution.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"246","Mustard","Washable fabrics","Heavy-duty liquid detergent;Dilute solution of all-fabric powdered bleach;Liquid chlorine bleach;Commercial color remover","Pretreat the stain with heavy-duty liquid detergent. Rinse.;Soak fabric in dilute solution of all-fabric powdered bleach.;If stain persists and garment is white or colorfast, soak entire garment in diluted solution of liquid chlorine bleach and water. Chlorine bleach may change the color of the garment or cause irreversible damage. Check for bleach tolerance on a hidden seam. If stain does not come out in 15 minutes of bleaching, if cannot be removed by bleaching.;If bleaching is not safe or does not work, use a commercial color remover according to package directions. Note that color remover will take out the fabric color as well as the stain. Do not exceed 160 degrees Fahrenheit water with any synthetic fabrics*. Launder.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"247","Mustard","Carpet","Detergent;Ammonia;Detergent;White vinegar;Enzymeproduct","Scrape off excess foreign material.;Mix one tablespoon of liquid dishwashing detergent with two cups of warm water.;Using a clean white cloth, sponge the stain with the detergent solution.;Blot until the liquid is absorbed.;Repeat Steps 3 and 4 until the stain disappears.;If the stain remains, mix one tablespoon of ammonia with two cups of warm water. (Caution: Never mix chlorine bleach and ammonia – fumes are hazardous);Sponge the stain with the ammonia solution.;Blot until the liquid is absorbed.;Sponge with cold water and blot dry.;Mix one (1) teaspoon liquid dishwashing detergent with one (1) cup lukewarm water. ;Using a clean white cloth, sponge the stain with the detergent solution.;Blot until the liquid is absorbed.;Repeat Steps 2 and 3 until the stain disappears.;If the stain remains, mix 1/3 cup white vinegar with 2/3 cup of water. ;Apply using the clean white cloth, sponge the stain with solution. ;If the stain still remains, mix a solution of cool water and a product containing enzymes following direction on the label or box.  (Some laundry detergents contain enzymes.);Cover the stain with a cloth drenched in the solution.  Allow to remain on the stain the length of time recommended by the manufacturer. ;Rinse the area with clean water.  Blot dry.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"248","Mustard","Upholstery","Detergent","Mix one (1) tablespoon of liquid dishwashing detergent with two (2) cups of cool water.;Using a clean white cloth, sponge the stain with the detergent solution.;Blot until the liquid is absorbed.;Repeat Steps 2 and 3 until the stain disappears.;Sponge with cold water and blot dry to remove the detergent solution.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"249","Nail polish","Washable fabrics","Nail polish remover;Acetone","On other fabrics, apply nail polish remover or acetone to back of stain over absorbent material.;Rinse and launder.","Do not use nail polish remover on acetate, triacetate or modacrylic fabrics as they will dissolve. Send these materials to the dry cleaner and identify the stain.",,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"250","Nail polish","Carpet","Dull knife;Rubbing alcohol;Detergent;Nail polish remover","Remove as much of the foreign material as possible by blotting with a white paper towel or scraping with a dull knife.;Apply rubbing alcohol to a clean white cloth, white paper towel or cotton ball. If the spot extends deep into the pile use a blotting motion until the spot is removed or no color is transferred to the cloth. Do not allow the alcohol to penetrate into the backing as this will destroy the latex bond. If the spot is on the surface only, rub in one direction at a time. Never us a circular motion to remove spot as this may destroy the texture. Stop if spot is removed. If not, go to the next step.;Apply a small quantity of detergent solution to the spot. (To make the detergent solution mix 1/4 teaspoon of a hand dishwashing detergent which does not contain lanolin or bleach with 1 quart of water) Use a blotting motion to work the detergent into the affected area. If spot is being removed continue applying detergent and blotting with a white paper towel until spot is removed.;Rinse with tap water using a spray bottle, blot to remove excess moisture.;Spray lightly with water, do not blot this time; apply pad of paper towels and brick and allow to dry.;If there is still some stain on the carpet and blotting is not removing it, then moisten the tufts in the stained area with 3% hydrogen peroxide. Let stand for on (1) hour. Blot and repeat until carpet is stain free. Light will cause peroxide to change back to water so no rinsing is necessary. Apply pad of paper towels and weight down with brick.;After removing excess, apply nail polish remover, drop by drop, to soften.;Then blot or scrape away.;Shampoo, let dry, then vacuum;Pretest nail polish remover in an inconspicuous place. Do not use on acrylic fibers",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"251","Nail polish","Upholstery","Acetone;Dry cleaning solvent;Hydrogen peroxide","Carefully blot up excess polish.;Using an eye dropper, apply a small amount of acetone to the stain.;Blot immediately.;Repeat Steps 2 and 3 until no more stain is removed.;Using a clean white cloth, sponge the stain with a dry cleaning solvent.;Blot until the solvent is absorbed.;If the stain remains, apply hydrogen peroxide.  Use an eye dropper to apply the peroxide directly on the stain.;Sponge with cold water and blot dry to remove the hydrogen peroxide.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"252","Nail polish remover","Carpet","Detergent","Mix one tablespoon of liquid dishwashing detergent with two cups of warm water.;Sponge the stain with the detergent solution.;Blot until the liquid is absorbed.;Repeat Steps 2 and 3 until the stain disappears.;Sponge with cold water and blot dry.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"253","Nail polish remover","Upholstery","Dry cleaning solvent","Using a clean white cloth, sponge the stain with the dry cleaning solvent.;Blot until the solvent is absorbed.;Repeat Steps 2 and 3 until the stain disappears.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"254","Nose drops","Washable fabrics","Pretreatment laundry stain remover;Heavy-duty liquid detergent;Chlorine bleach or oxygen bleach;Dry cleaning solvent;Absorbent paper towels","Saturate area with pretreatment laundry stain remover (aerosol types work better on greasy stains) Wait one minute for product to penetrate the stain. For stubborn stains, rub with heavy-duty liquid detergent. Launder immediately.;If color stain remains, soak/wash in chlorine bleach if safe for fabric, or in oxygen bleach.;For extra heavy stains, apply dry cleaning solvent to back of the stain over absorbent paper towels. Let dry, rinse. Proceed as above.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"255","Ointment, salve","Washable fabrics","Pretreatment laundry stain remover;Heavy-duty liquid detergent;Chlorine bleach or oxygen bleach;Dry cleaning solvent;Absorbent paper towels","Saturate area with pretreatment laundry stain remover (aerosol types work better on greasy stains) Wait one minute for product to penetrate the stain. For stubborn stains, rub with heavy-duty liquid detergent. Launder immediately.;If color stain remains, soak/wash in chlorine bleach if safe for fabric, or in oxygen bleach.;For extra heavy stains, apply dry cleaning solvent to back of the stain over absorbent paper towels. Let dry, rinse. Proceed as above.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"256","Olive oil","Upholstery","Absorbent;Dry cleaning solvent","Sprinkle baking soda, cornstarch, or other absorbent on the stain.  Let stand 10 to 15 minutes, and then vacuum.;Using a clean white cloth, sponge the stain with the dry cleaning solvent.;Blot until the solvent is absorbed.;Repeat Steps 2 and 3 until the stain disappears.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"257","Onion","Carpet","Detergent;Ammonia","Scrape off excess foreign material.;Mix one tablespoon of liquid dishwashing detergent with two cups of warm water.;Using a clean white cloth, sponge the stain with the detergent solution.;Blot until the liquid is absorbed.;Repeat Steps 3 and 4 until the stain disappears.;If the stain remains, mix one tablespoon of ammonia with two cups of warm water. (Caution: Never mix chlorine bleach and ammonia – fumes are hazardous);Sponge the stain with the ammonia solution.;Blot until the liquid is absorbed.;Sponge with cold water and blot dry.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"258","Onion","Upholstery","Detergent","Mix one (1) tablespoon of liquid dishwashing detergent with two (2) cups of cool water.;Using a clean white cloth, sponge the stain with the detergent solution.;Blot until the liquid is absorbed.;Repeat Steps 2 and 3 until the stain disappears.;Sponge with cold water and blot dry to remove the detergent solution.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"259","Orange juice","Upholstery","Detergent","Mix one (1) tablespoon of liquid dishwashing detergent with two (2) cups of cool water.;Using a clean white cloth, sponge the stain with the detergent solution.;Blot until the liquid is absorbed.;Repeat Steps 2 and 3 until the stain disappears.;Sponge with cold water and blot dry to remove the detergent solution.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
